id,colour,size
PN20308,"Blizzard,Limestone,Orange,Tropic,Cafe,","Small/Medium,Medium/Large,"
PN20311,,
PN20312,,
PN31012,,
PN31014,,
PN31015,,
PN31028,,
PN31029,,
PN31031,,
PN31034,,
PN31037,,
PN31040,"Black,","Small,Medium,Large,XLarge,"
PN31063,"Silver,","13cm,16cm,19cm,22cm,"
PN31065,,
PN31066,,
PN31067,,
PN31069,,
PN31070,"Ass,","0.3,0.4,0.5,0.75,1,2,3,4,5,6,"
PN31075,,
PN31076,,
PN31086,,
PN31093,,
PN31096,,
PN31098,,
PN4144,"Cool Gray,","Small,Medium,Large,XLarge,"
PN4146,"Steel,","Small,Medium,Large,XLarge,"
PN4147,"Ink,","XSmall,Small,Medium,Large,"
PN4148,"Cobalt,Raspberry,","One Size,"
PN4150,,
PN4156,,
PN4157,,
PN4160,,
PN4161,,
PN5293,"Black,Lime Green,","Small,Medium,Large,XLarge,"
PN5296,"Black,Natural,","Small,Medium,Large,XLarge,"
PN5298,"Black,Natural,","Small,Medium,Large,XLarge,"
PN5299,"Black,","Small,Medium,Large,XLarge,"
PN5300,"Black,","Medium,Large,XLarge,"
PN5304,"Black,","Small,Medium,Large,XLarge,"
PN5305,"Black,","Small,Medium,Large,XLarge,"
PN5314,,
PN5315,,
PN5317,"Green Flash,","105-125cm,115-135cm,"
PN5318,"BD Orange,","95-145cm,105-155cm,"
PN5319,,
PN5320,"Black,Revolution Green,","Small/Medium,"
PN5321,"Lava,Cobalt Blue,","Small,Medium,Large,"
PN5324,"Lava,","Small,Medium,Large,XLarge,"
PN5325,"Aruba Fire,","XSmall,Small,Medium,Large,"
PN5326,,
PN5327,,
PN5328,,
PN5330,"Black,","Small,Medium,Large,"
PN56939,,
PN56983,,
PN65072,,
PN65073,,
PN65074,,
PN65075,,
PN65077,,
PN65079,"Grey,","55cm,60cm,65cm,70cm,75cm,"
PN65080,,
PN65081,,
PN65082,,
PN65083,,
PN65085,,
PN65088,,
PN65089,,
PN65090,,
PN6826,,
PN6827,"Print,","125cm,140cm,"
PN6829,"Print,","110cm,125cm,"
PN6830,,
PN6832,"Red,Yellow,Blue,Grey,Purple,Green,","Size 0.1,Size 0.2,Size 0.3,Size 0.4,Size 0.5,Size 0.75,"
PN6833,"Blizzard,Cafe,Orange,Black,","Small/Medium,Medium/Large,"
PN6836,"Coal,Lava,","Medium Back,"
PN6840,"Print,","110 cm,120 cm,130 cm,"
PN6842,,
PN6843,,
PN6844,,
PN6845,,
PN6846,,
PN6847,,
PN6848,"Blizzard,Fire Red,Steel Grey,","Small/Medium,Medium/Large,"
PN6849,"Deep Blue,","Small,Medium,Large,XLarge,"
PN6850,"Dark Shadow,Process Blue,","75 Lumens,"
PN6851,"Titanium,","110 Lumens,"
PN6853,"Matte Black,Bright Teal,","70 Lumens,"
PN70614,"Burnt Orange,","Small/Medium,Medium/Large,Large/XLarge,XXLarge,"
PN70618,,
PN70625,,
PN7822,"Laurel,Glacier Blue,","53-59cm,"
PN7823,"Black,Cobalt,","Small/Medium,Medium/Large,"
PN7824,,
PN7826,,
PN7827,,
PN7828,,
PN7829,,
PN7830,,
PN7831,,
PN7833,,
PN7834,,
PN7835,,
PN79057,,
PN79068,,
PN79098,,
PN7951,"Black,","Small,Medium,Large,XLarge,"
PN7952,"Black,","Small,Medium,Large,XLarge,"
PN7953,"Black,","Small,Medium,Large,"
PN84050,"Black,","Medium,Large,XLarge,Small,"
PN84059,,
PN84061,,
PN8509,,
PN8510,,
PN8511,,
PN8513,,
PN8514,"Grey,Purple,Green,Red,Yellow,","Size 000,Size 00,Size 0,Size 1,Size 2,"
PN8515,,
PN8516,,
PN8517,,
PN8518,,
PN8519,,
PN8521,"Cinnamon Tattoo,","One Size,"
PN8524,"Black,","Small,Medium,Large,XLarge,"
PN8525,"Black,Bright Teal,Dark Denim,Fire Red,Green Sage,Plum,","Small/Medium,Medium/Large,"
PN8526,"Blue Steel,Coal,Gecko,Red Clay,","One Size,"
PN8529,"Anthracite,BD Orange,","Left Hand,Right Hand,"
PN8532,,
PN8534,,
PN8535,"Black,Moroccan Blue,","One Size,"
PN8537,"Limelight,Moroccan Blue,","One Size,"
PN8539,"Fire Red,Graphite,Sulfur,","Small,Medium,Large,"
PN8540,"Sulfur,Vapor Grey,","Small/Medium,Medium/Large,"
PN8542,"Carbon/Blue,","100cm,110cm,120cm,130cm,"
PN8543,,
PN8544,,
PN8545,,
PN8546,,
PN8548,,
PN8549,,
PN8550,,
PN8551,,
PN8552,,
PN8553,,
PN8554,"Carbon,","115cm,120cm,125cm,130cm,"
PN8555,"Ultra Blue,","57-125cm,62-140cm,"
PN8556,"Black,","Small,Medium,Large,XLarge,"
PN8557,"Black,","Small,Medium,Large,XLarge,"
PN8558,"Black,","Small,Medium,Large,XLarge,"
PN8560,,
PN8561,"Dark Shadow,Revolution Green,Vibrant Orange,Matte Black,","160 Lumens,"
PN90049,,
PN90050,,
PN90051,,
PN90054,"Cobalt,","Small,Medium,Large,"
PN90060,"Black,Cobalt,","Small,Medium,Large,XLarge,"
PN90061,"Black,Cobalt,","Small,Medium,Large,XLarge,"
PN90063,"Black,","Small,Medium,Large,XLarge,"
PN90067,"Dark Chocolate,","250 Lumens,"
PN90068,"Dark Chocolate,Ultra White,Dark Shadow,","80 Lumens,"
PN90069,"Lava,Lime Green,Ultrawhite,DARK SHADOW,Matte Black,Process Blue,Vibrant Orange,","45 Lumens,"
PN90217,,
PN9056,,
PN9070,"Dark Shadow,Matte Black,Process Blue,Ultra White,Vibrant Orange,","60 lumens,"
PN9180,"Fire Red,","Small,Medium,Large,"
PN33402,"Brown,","4,4.5,5,5.5,6,6.5,7,7.5,8,"
PN33403,"Brown,Black,","7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,"
PN33416,"Brown,Neutral,",
PN5434,"Chocolate,","Size 7,Size 7.5,Size 8,Size 8.5,Size 9,Size 9.5,Size 10,Size 10.5,Size 11,Size 11.5,Size 12,Size 13,"
PN5435,"Chocolate,","Size 4,Size 4.5,Size 5,Size 5.5,Size 6,Size 6.5,Size 7,Size 7.5,Size 8,"
PN5436,"Black,","Size 7,Size 7.5,Size 8,Size 8.5,Size 9,Size 9.5,Size 10,Size 10.5,Size 11,Size 11.5,Size 12,"
PN5439,"Brown,","Size 7,Size 7.5,Size 8,Size 8.5,Size 9,Size 9.5,Size 10,Size 10.5,Size 11,Size 11.5,Size 12,"
PN19459,"Storm Blue,Pink,","Medium,Large,XLarge,"
PN19460,"Natural,Lavender,Blue,","Small,Medium,Large,"
PN19462,"Grey,Natural,","Medium,Large,"
PN34004,"Navy/Petrol,Gunmetal,","Small,Medium,Large,XL,"
PN34006,"Black,Green,Black,Gunmetal,","Small,Medium,Large,XL,"
PN34007,"Navy,Black,","Small,Medium,Large,XLarge,"
PN34008,"Storm,Olive Marl,","W.Small,W. Medium,W. Large,"
PN34009,"Navy,Stone,","Small,Medium,Large,XL,"
PN34013,"Sky/Grey,Heather/Damson,Grey/Smoke Blue,","W.Small,W. Medium,W. Large,"
PN34014,"Navy,","Small,Medium,Large,XL,"
PN34015,"Grey,Black,White,Navy,","Small,Medium,Large,XL,"
PN34016,"Sky,Navy,","W.Small,W. Medium,W. Large,"
PN34017,"Indigo,Natural,Grey,Charcoal,","Small,Medium,Large,XL,"
PN57812,"Navy,Grey,","Medium,Large,XLarge,SMALL,"
PN57816,"Coral,Plum,Smokey Blue,","Small,Medium,Large,"
PN70817,"Powder Blue,Sand,","Small,Medium,Large,"
